3.2.95.0/24 AS16509 # was AS14618
3.2.97.0/24 AS16509 # was AS14618
3.2.98.0/24 AS16509 # was AS14618
3.2.100.0/24 AS8987 # was AS16509
3.3.5.0/24 AS16509 # was AS14618
3.3.16.0/21 AS16509 # was AS14618
3.4.1.0/24 AS16509 # was AS14618
3.4.2.0/24 AS16509 # was AS14618
3.4.10.0/24 AS16509 # was AS14618
3.4.16.0/21 AS16509 # was AS8987
3.4.28.0/22 AS16509 # was AS8987
3.5.35.0/24 AS16509 # was AS14618
3.5.73.0/24 AS16509 # was AS14618
3.5.74.0/23 AS16509 # was AS14618
3.5.90.0/23 AS16509 # was AS14618
3.5.92.0/24 AS16509 # was AS14618
3.5.126.0/23 AS16509 # was AS14618
3.30.0.0/15 AS8987 # was AS16509
3.32.0.0/16 AS8987 # was AS16509
3.33.44.0/22 AS16509 # was AS14618
3.40.0.0/16 AS16509 # was AS14618
3.41.0.0/17 AS16509 # was AS14618
3.42.0.0/15 AS16509 # was AS14618
3.44.0.0/16 AS16509 # was AS14618
3.45.0.0/18 AS16509 # was AS14618
3.45.128.0/17 AS16509 # was AS14618
3.46.0.0/15 AS16509 # was AS14618
3.83.168.0/22 AS14618 # was AS16509
3.208.0.0/13 AS14618 # was AS16509
3.216.0.0/15 AS14618 # was AS16509
3.218.0.0/17 AS14618 # was AS16509
3.218.128.0/19 AS14618 # was AS16509
3.218.160.0/20 AS14618 # was AS16509
3.218.176.0/22 AS14618 # was AS16509
3.218.184.0/21 AS14618 # was AS16509
3.218.192.0/18 AS14618 # was AS16509
3.219.0.0/16 AS14618 # was AS16509
3.220.0.0/14 AS14618 # was AS16509
3.235.203.0/24 AS14618 # was AS16509
3.239.232.0/24 AS14618 # was AS16509
4.23.88.0/23 AS3356 # was AS7287
4.23.92.0/22 AS3356 # was AS7287
4.38.0.0/20 AS3356 # was AS7287
4.43.50.0/23 AS3356 # was AS7287
4.67.96.0/20 AS3356 # was AS7287
# 4.128.0.0/12 was AS8075
5.1.40.0/24 AS205489 # was AS212238
5.1.67.0/24 AS215787 # was AS207439
5.1.85.0/24 AS215787 # was AS207439
5.10.216.0/24 AS205489 # was unassigned
# 5.10.232.0/21 was AS44568
5.10.250.0/24 AS203919 # was AS57043
5.11.128.0/17 AS16135 # was AS6453
5.22.157.0/24 AS57898 # was AS196943
5.22.160.0/19 AS21215 # was AS31042
5.27.64.0/18 AS16135 # was AS6453
